epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,190.196,1.08143,1.85209,1.35347,0.74653,0.69683,0.74157,0.50667,1.04717,1.44323,1.37574,0.000475459,0.000475459,0.000475459
2,370.348,1.16273,1.44976,1.40784,0.72956,0.62717,0.71126,0.48453,1.1191,1.27571,1.42494,0.000932947,0.000932947,0.000932947
3,548.48,1.1875,1.38822,1.4258,0.6222,0.55141,0.57039,0.36644,1.26619,1.74894,1.56642,0.00137157,0.00137157,0.00137157
4,725.605,1.1486,1.30624,1.40489,0.76031,0.65894,0.73125,0.47078,1.15201,1.28519,1.5132,0.00134412,0.00134412,0.00134412
5,900.738,1.09851,1.22843,1.37123,0.79237,0.73552,0.78074,0.55578,0.99834,1.07283,1.33609,0.00131582,0.00131582,0.00131582
6,1074.71,1.04757,1.13592,1.33689,0.7948,0.73143,0.7906,0.58886,0.93368,0.93541,1.28108,0.00128753,0.00128753,0.00128753
7,1253.78,1.01738,1.09163,1.31178,0.8026,0.75433,0.79971,0.62084,0.88221,0.92009,1.22906,0.00125923,0.00125923,0.00125923
8,1431.71,0.99002,1.04994,1.28825,0.82257,0.75413,0.82225,0.63997,0.8676,0.87305,1.21889,0.00123094,0.00123094,0.00123094
9,1610.64,0.97521,1.00932,1.27565,0.80364,0.7295,0.81029,0.62532,0.86577,0.92513,1.21219,0.00120265,0.00120265,0.00120265
10,1788.58,0.95156,0.98254,1.26574,0.81995,0.76007,0.82666,0.65804,0.81243,0.79503,1.17702,0.00117435,0.00117435,0.00117435
11,1966.73,0.93048,0.9561,1.2456,0.83699,0.7687,0.83866,0.66526,0.82502,0.76613,1.17128,0.00114606,0.00114606,0.00114606
12,2149.31,0.9153,0.92045,1.23725,0.86976,0.76039,0.8452,0.6801,0.77165,0.77918,1.13719,0.00111776,0.00111776,0.00111776
13,2328.41,0.90803,0.91731,1.23206,0.83155,0.79871,0.84737,0.67477,0.80824,0.75208,1.1725,0.00108947,0.00108947,0.00108947
14,2505.34,0.8858,0.88221,1.21543,0.82969,0.80135,0.84275,0.68154,0.76758,0.72191,1.13509,0.00106118,0.00106118,0.00106118
15,2683.77,0.87674,0.86611,1.20961,0.81115,0.77505,0.82755,0.66393,0.77591,0.75961,1.14675,0.00103288,0.00103288,0.00103288
16,2864.25,0.85335,0.83492,1.19722,0.83553,0.80333,0.85695,0.69547,0.7552,0.68533,1.13385,0.00100459,0.00100459,0.00100459
17,3044.35,0.85447,0.82818,1.19374,0.84854,0.78984,0.85237,0.69975,0.73136,0.71516,1.11538,0.000976293,0.000976293,0.000976293
18,3222.19,0.84382,0.81095,1.1879,0.86007,0.80772,0.86329,0.71118,0.71768,0.65478,1.09845,0.000947999,0.000947999,0.000947999
19,3398.11,0.84621,0.80656,1.18424,0.88217,0.76599,0.85537,0.7087,0.71278,0.67214,1.09955,0.000919704,0.000919704,0.000919704
20,3575.22,0.82732,0.79544,1.17702,0.85583,0.80039,0.86744,0.72087,0.7029,0.63032,1.08899,0.00089141,0.00089141,0.00089141
21,3753.78,0.82148,0.77221,1.16998,0.8582,0.80438,0.86752,0.71627,0.70679,0.64085,1.09157,0.000863116,0.000863116,0.000863116
22,3929.01,0.80599,0.75829,1.16171,0.86014,0.80307,0.86395,0.71566,0.701,0.64275,1.09069,0.000834822,0.000834822,0.000834822
23,4105.51,0.79745,0.74802,1.15576,0.87778,0.80484,0.87119,0.72369,0.6984,0.63012,1.09274,0.000806528,0.000806528,0.000806528
24,4283.48,0.79172,0.72737,1.15187,0.88546,0.81366,0.87868,0.72537,0.71883,0.62042,1.09497,0.000778233,0.000778233,0.000778233
25,4460.61,0.77854,0.71178,1.14438,0.87915,0.80683,0.87371,0.73455,0.66268,0.60125,1.06275,0.000749939,0.000749939,0.000749939
26,4637.53,0.76578,0.69719,1.13543,0.88551,0.81816,0.88368,0.73257,0.69334,0.58598,1.0825,0.000721645,0.000721645,0.000721645
27,4814.09,0.76272,0.69626,1.13308,0.87093,0.80618,0.87039,0.72488,0.69431,0.62045,1.08528,0.000693351,0.000693351,0.000693351
28,4990.5,0.75827,0.68999,1.12964,0.87796,0.82379,0.87949,0.73723,0.68276,0.59458,1.07662,0.000665057,0.000665057,0.000665057
29,5165.21,0.75407,0.67539,1.12483,0.87783,0.82874,0.88425,0.74307,0.66804,0.58056,1.06759,0.000636762,0.000636762,0.000636762
30,5339.97,0.738,0.65953,1.11829,0.88963,0.83084,0.89218,0.74443,0.67537,0.56472,1.07681,0.000608468,0.000608468,0.000608468
31,5516.42,0.73474,0.65101,1.10956,0.88022,0.8282,0.88608,0.74328,0.67107,0.56091,1.06922,0.000580174,0.000580174,0.000580174
32,5695.11,0.72446,0.6442,1.10588,0.87351,0.82879,0.88771,0.74354,0.68049,0.56226,1.07761,0.00055188,0.00055188,0.00055188
33,5872.37,0.71486,0.6279,1.1013,0.87765,0.82645,0.88582,0.74318,0.66077,0.5636,1.05934,0.000523586,0.000523586,0.000523586
